,49640,2019-12-30 07:38:25.467000,False,False.1,nan,False.2,nan.1,False.3,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-07-43_16378.csv,"[nan, nan, nan]",Event Check
0,49641,2019-12-30 07:43:13.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-07-48_16379.csv,"[nan, nan, nan]",
1,49642,2019-12-30 07:48:01.467000,False,False,,True,5724.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-07-52_16380.csv,"[nan, nan, nan]",False
2,49643,2019-12-30 07:52:49.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-07-57_16381.csv,"[nan, nan, nan]",
3,49644,2019-12-30 07:57:37.467000,False,False,,True,4570.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-08-02_16382.csv,"[nan, nan, nan]",
4,49645,2019-12-30 08:02:25.467000,False,False,,True,15003.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-08-07_16383.csv,"[nan, nan, nan]",
5,49646,2019-12-30 08:07:13.467000,False,False,,True,13236.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-08-12_16384.csv,"[nan, nan, nan]",
6,49647,2019-12-30 08:12:01.467000,False,False,,True,6754.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-08-16_16385.csv,"[nan, nan, nan]",
7,49648,2019-12-30 08:16:49.467000,False,False,,True,827.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-08-21_16386.csv,"[nan, nan, nan]",
8,49649,2019-12-30 08:21:37.467000,False,False,,True,2110.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-08-26_16387.csv,"[nan, nan, nan]",
9,49650,2019-12-30 08:26:25.467000,False,False,,True,2270.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-08-31_16388.csv,"[nan, nan, nan]",
10,49651,2019-12-30 08:31:13.467000,False,False,,True,3224.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-08-36_16389.csv,"[nan, nan, nan]",
11,49652,2019-12-30 08:36:01.467000,False,False,,True,3257.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-08-40_16390.csv,"[nan, nan, nan]",
12,49653,2019-12-30 08:40:49.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-08-45_16391.csv,"[nan, nan, nan]",
