,Unnamed: 0,index,archive_index_number,timestamp,non_event_flag,over_freq_flag,over_freq_index,under_freq_flag,under_freq_index,ambig_flag,severity_desc,file_name,ABC_values,Event Check
0,0,0,0,2019-08-01 13:42:41.113000,False,False,,True,1.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-01-13-45_1.csv,"[nan, nan, nan]",
1,1,53,53,2019-08-01 16:04:01.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-01-16-06_54.csv,"[nan, nan, nan]",False
2,2,231,231,2019-08-01 23:58:41.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-00-01_232.csv,"[nan, nan, nan]",
3,3,242,242,2019-08-02 00:28:01.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-00-30_243.csv,"[nan, nan, nan]",
4,4,251,251,2019-08-02 00:52:01.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-00-54_252.csv,"[nan, nan, nan]",
5,5,252,252,2019-08-02 00:54:41.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-00-57_253.csv,"[nan, nan, nan]",
6,6,265,265,2019-08-02 01:29:21.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-01-32_266.csv,"[nan, nan, nan]",
7,7,283,283,2019-08-02 02:17:21.111000,False,False,,True,9870.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-02-20_284.csv,"[nan, nan, nan]",
8,8,297,297,2019-08-02 02:54:41.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-02-57_298.csv,"[nan, nan, nan]",
9,9,301,301,2019-08-02 03:05:21.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-03-08_302.csv,"[nan, nan, nan]",
10,10,327,327,2019-08-02 04:14:41.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-04-17_328.csv,"[nan, nan, nan]",
11,11,350,350,2019-08-02 05:16:01.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-05-18_351.csv,"[nan, nan, nan]",
12,12,359,359,2019-08-02 05:40:01.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-05-42_360.csv,"[nan, nan, nan]",
13,13,368,368,2019-08-02 06:04:01.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-06-06_369.csv,"[nan, nan, nan]",
14,14,388,388,2019-08-02 06:57:21.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-07-00_389.csv,"[nan, nan, nan]",
15,15,389,389,2019-08-02 07:00:01.111000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-07-02_390.csv,"[nan, nan, nan]",
