,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,index,archive_index_number,timestamp,non_event_flag,over_freq_flag,over_freq_index,under_freq_flag,under_freq_index,ambig_flag,severity_desc,file_name,ABC_values,Event Check
0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2019-08-01 13:42:41,False,False,,True,1.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-01-13-45_1.csv,"[nan, nan, nan]",
1,1,1,1,1,1,1,1.0,1,1.0,1,1,1,1,1,1,53,2019-08-01 16:04:01,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-01-16-06_54.csv,"[nan, nan, nan]",False
2,2,2,2,2,2,2,2.0,2,2.0,2,2,2,2,2,2,231,2019-08-01 23:58:41,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-00-01_232.csv,"[nan, nan, nan]",True
3,3,3,3,3,3,3,3.0,3,3.0,3,3,3,3,3,3,242,2019-08-02 0:28:01,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-00-30_243.csv,"[nan, nan, nan]",
4,4,4,4,4,4,4,4.0,4,4.0,4,4,4,4,4,4,251,2019-08-02 0:52:01,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-00-54_252.csv,"[nan, nan, nan]",
5,5,5,5,5,5,5,5.0,5,5.0,5,5,5,5,5,5,252,2019-08-02 0:54:41,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-00-57_253.csv,"[nan, nan, nan]",
6,6,6,6,6,6,6,6.0,6,6.0,6,6,6,6,6,6,265,2019-08-02 1:29:21,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-01-32_266.csv,"[nan, nan, nan]",
7,7,7,7,7,7,7,7.0,7,7.0,7,7,7,7,7,7,283,2019-08-02 2:17:21,False,False,,True,9870.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-02-20_284.csv,"[nan, nan, nan]",
8,8,8,8,8,8,8,8.0,8,8.0,8,8,8,8,8,8,297,2019-08-02 2:54:41,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-02-57_298.csv,"[nan, nan, nan]",
9,9,9,9,9,9,9,9.0,9,9.0,9,9,9,9,9,9,301,2019-08-02 3:05:21,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-03-08_302.csv,"[nan, nan, nan]",
10,10,10,10,10,10,10,10.0,10,10.0,10,10,10,10,10,10,327,2019-08-02 4:14:41,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-04-17_328.csv,"[nan, nan, nan]",
11,11,11,11,11,11,11,11.0,11,11.0,11,11,11,11,11,11,350,2019-08-02 5:16:01,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-05-18_351.csv,"[nan, nan, nan]",
12,12,12,12,12,12,12,12.0,12,12.0,12,12,12,12,12,12,359,2019-08-02 5:40:01,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-05-42_360.csv,"[nan, nan, nan]",
13,13,13,13,13,13,13,13.0,13,13.0,13,13,13,13,13,13,368,2019-08-02 6:04:01,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-06-06_369.csv,"[nan, nan, nan]",
14,14,14,14,14,14,14,14.0,14,14.0,14,14,14,14,14,14,388,2019-08-02 6:57:21,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-07-00_389.csv,"[nan, nan, nan]",
15,15,15,15,15,15,15,15.0,15,15.0,15,15,15,15,15,15,389,2019-08-02 7:00:01,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-07-02_390.csv,"[nan, nan, nan]",
16,16,16,16,16,16,16,16.0,16,16.0,16,16,16,16,16,16,404,2019-08-02 7:40:01,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-07-42_405.csv,"[nan, nan, nan]",
17,17,17,17,17,17,17,17.0,17,17.0,17,17,17,17,17,17,408,2019-08-02 7:50:41,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-07-53_409.csv,"[nan, nan, nan]",
18,18,18,18,18,18,18,18.0,18,18.0,18,18,18,18,18,18,411,2019-08-02 7:58:41,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-08-01_412.csv,"[nan, nan, nan]",
19,19,19,19,19,19,19,19.0,19,19.0,19,19,19,19,19,19,415,2019-08-02 8:09:21,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-08-12_416.csv,"[nan, nan, nan]",
20,20,20,20,20,20,20,20.0,20,20.0,20,20,20,20,20,20,427,2019-08-02 8:41:21,False,False,,True,8471.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-08-44_428.csv,"[nan, nan, nan]",
21,21,21,21,21,21,21,21.0,21,21.0,21,21,21,21,21,21,429,2019-08-02 8:46:41,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-08-49_430.csv,"[nan, nan, nan]",
22,22,22,22,22,22,22,22.0,22,22.0,22,22,22,22,22,22,430,2019-08-02 8:49:21,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-08-52_431.csv,"[nan, nan, nan]",
23,23,23,23,23,23,23,23.0,23,23.0,23,23,23,23,23,23,445,2019-08-02 9:29:21,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-09-32_446.csv,"[nan, nan, nan]",
24,24,24,24,24,24,24,24.0,24,24.0,24,24,24,24,24,24,456,2019-08-02 9:58:41,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-10-01_457.csv,"[nan, nan, nan]",
25,25,25,25,25,25,25,25.0,25,25.0,25,25,25,25,25,25,479,2019-08-02 11:00:01,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-11-02_480.csv,"[nan, nan, nan]",
26,26,26,26,26,26,26,26.0,26,26.0,26,26,26,26,26,26,570,2019-08-02 15:05:20,False,True,2716.0,True,1.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-15-08_1.csv,"[nan, nan, nan]",
27,27,27,27,27,27,27,27.0,27,27.0,27,27,27,27,27,27,580,2019-08-02 15:32:00,False,True,6804.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-15-34_11.csv,"[nan, nan, nan]",
28,28,28,28,28,28,28,28.0,28,28.0,28,28,28,28,28,28,588,2019-08-02 15:53:20,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-15-56_19.csv,"[nan, nan, nan]",
29,29,29,29,29,29,29,29.0,29,29.0,29,29,29,29,29,29,685,2019-08-02 20:12:00,False,True,1387.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-02-20-14_116.csv,"[nan, nan, nan]",
30,30,30,30,30,30,30,30.0,30,30.0,30,30,30,30,30,30,835,2019-08-03 2:52:00,False,True,194.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-03-02-54_266.csv,"[nan, nan, nan]",
31,31,31,31,31,31,31,31.0,31,31.0,31,31,31,31,31,31,836,2019-08-03 2:54:40,False,True,0.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-03-02-57_267.csv,"[nan, nan, nan]",
32,32,32,32,32,32,32,32.0,32,32.0,32,32,32,32,32,32,851,2019-08-03 3:34:40,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-03-03-37_282.csv,"[nan, nan, nan]",
33,33,33,33,33,33,33,33.0,33,33.0,33,33,33,33,33,33,879,2019-08-03 4:49:21,False,True,820.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-03-04-52_310.csv,"[nan, nan, nan]",
34,34,34,34,34,34,34,34.0,34,34.0,34,34,34,34,34,34,902,2019-08-03 5:50:41,False,True,1887.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-03-05-53_333.csv,"[nan, nan, nan]",
35,35,35,35,35,35,35,35.0,35,35.0,35,35,35,35,35,35,1010,2019-08-03 10:38:41,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-03-10-41_441.csv,"[nan, nan, nan]",
36,36,36,36,36,36,36,36.0,36,36.0,36,36,36,36,36,36,1012,2019-08-03 10:44:01,False,True,5441.0,True,3933.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-03-10-46_443.csv,"[nan, nan, nan]",
37,37,37,37,37,37,37,37.0,37,37.0,37,37,37,37,37,37,1045,2019-08-03 12:12:01,False,False,,True,4274.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-03-12-14_476.csv,"[nan, nan, nan]",
38,38,38,38,38,38,38,38.0,38,38.0,38,38,38,38,38,38,1056,2019-08-03 12:41:21,False,True,7447.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-03-12-44_487.csv,"[nan, nan, nan]",
39,39,39,39,39,39,39,39.0,39,39.0,39,39,39,39,39,39,1078,2019-08-03 13:40:01,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-03-13-42_509.csv,"[nan, nan, nan]",
40,40,40,40,40,40,40,40.0,40,40.0,40,40,40,40,40,40,1089,2019-08-03 14:09:21,False,True,0.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-03-14-12_520.csv,"[nan, nan, nan]",
41,41,41,41,41,41,41,41.0,41,41.0,41,41,41,41,41,41,1290,2019-08-03 23:05:21,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-03-23-08_721.csv,"[nan, nan, nan]",
42,42,42,42,42,42,42,42.0,42,42.0,42,42,42,42,42,42,1310,2019-08-03 23:58:41,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-00-01_741.csv,"[nan, nan, nan]",
43,43,43,43,43,43,43,43.0,43,43.0,43,43,43,43,43,43,1329,2019-08-04 0:49:22,False,True,7373.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-00-52_760.csv,"[nan, nan, nan]",
44,44,44,44,44,44,44,44.0,44,44.0,44,44,44,44,44,44,1349,2019-08-04 1:42:42,False,False,,True,5478.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-01-45_780.csv,"[nan, nan, nan]",
45,45,45,45,45,45,45,45.0,45,45.0,45,45,45,45,45,45,1431,2019-08-04 5:21:22,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-05-24_862.csv,"[nan, nan, nan]",
46,46,46,46,46,46,46,46.0,46,46.0,46,46,46,46,46,46,1436,2019-08-04 5:34:42,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-05-37_867.csv,"[nan, nan, nan]",
47,47,47,47,47,47,47,47.0,47,47.0,47,47,47,47,47,47,1451,2019-08-04 6:14:42,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-06-17_882.csv,"[nan, nan, nan]",
48,48,48,48,48,48,48,48.0,48,48.0,48,48,48,48,48,48,1467,2019-08-04 6:57:22,False,False,,True,9681.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-07-00_898.csv,"[nan, nan, nan]",
49,49,49,49,49,49,49,49.0,49,49.0,49,49,49,49,49,49,1471,2019-08-04 7:08:02,False,False,,True,4937.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-07-10_902.csv,"[nan, nan, nan]",
50,50,50,50,50,50,50,50.0,50,50.0,50,50,50,50,50,50,1474,2019-08-04 7:16:02,False,False,,True,4341.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-07-18_905.csv,"[nan, nan, nan]",
51,51,51,51,51,51,51,51.0,51,51.0,51,51,51,51,51,51,1486,2019-08-04 7:48:02,False,False,,True,3475.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-07-50_917.csv,"[nan, nan, nan]",
